%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
295.038,82404.766,0.973,30.388,449.242,523.809,6.326,-13.000,0.000,-2074.149,3917.671,13.962,-0.035,0.042,89.675,238.417,7.389,-237.141,-315.225,-363.750,-395.326,-413.699,-367.861,-422.933,-439.902,-439.727,-449.207,-446.912,-437.412,-433.502
294.810,82284.913,0.972,30.385,448.834,519.069,6.323,-13.000,0.000,-2074.149,3917.671,48.332,-0.036,0.042,99.205,255.168,26.237,-221.060,-303.890,-356.585,-393.297,-418.195,-394.209,-489.548,-465.536,-434.946,-418.465,-442.732,-439.589,-435.191
295.088,82429.821,0.973,30.366,448.636,520.762,6.324,-13.000,0.000,-2074.149,3917.671,76.535,-0.036,0.042,94.657,238.305,11.994,-231.398,-311.447,-362.608,-396.715,-420.444,-381.146,-445.972,-410.048,-416.673,-427.876,-425.800,-422.694,-421.676
294.885,82326.694,0.973,30.364,448.330,523.917,6.331,-13.000,0.000,-2074.149,3917.671,-63.246,-0.036,0.042,101.480,242.884,11.994,-232.547,-307.776,-351.289,-375.352,-396.355,-367.191,-431.690,-465.114,-458.213,-415.119,-404.897,-402.896,-401.065
294.935,82350.651,0.973,30.350,447.976,521.801,6.330,-13.000,0.000,-2074.149,3917.671,87.231,-0.036,0.042,117.617,236.184,1.928,-244.451,-319.759,-365.204,-393.297,-409.096,-361.057,-471.721,-442.539,-426.022,-454.540,-447.853,-454.826,-447.242
295.134,82387.201,0.972,30.361,448.207,520.116,6.335,-13.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.042,86.101,250.366,20.240,-228.996,-311.015,-367.176,-406.115,-431.900,-392.094,-436.907,-424.289,-413.486,-414.910,-428.413,-450.887,-459.068
294.808,82288.013,0.972,30.340,447.533,518.531,6.330,-13.000,0.000,-2074.149,3917.671,21.039,-0.036,0.043,76.678,244.782,19.491,-225.237,-306.697,-357.935,-389.238,-420.659,-398.792,-473.185,-463.433,-444.933,-435.823,-435.938,-448.814,-456.365
295.112,82427.302,0.973,30.329,447.512,519.056,6.337,-13.000,0.000,-2074.149,3917.671,-33.245,-0.035,0.042,84.585,240.762,10.923,-235.784,-315.333,-365.619,-400.668,-426.440,-380.259,-473.707,-464.804,-438.776,-435.300,-427.681,-422.175,-434.628
294.886,82330.633,0.973,30.300,446.462,518.858,6.340,-13.000,0.000,-2074.149,3917.671,-2.122,-0.036,0.043,93.465,250.366,26.666,-219.494,-303.134,-357.208,-392.977,-422.372,-393.210,-474.958,-446.238,-419.121,-421.335,-427.472,-428.913,-431.137
294.932,82349.101,0.973,30.298,446.431,517.314,6.349,-13.000,0.000,-2074.149,3917.671,104.223,-0.036,0.043,99.747,234.174,5.355,-239.543,-320.947,-374.445,-412.631,-438.645,-406.831,-419.810,-428.726,-446.000,-432.940,-432.847,-438.449,-442.287
295.046,82409.932,0.973,30.276,445.955,516.783,6.348,-13.000,0.000,-2074.149,3917.671,-81.816,-0.035,0.042,97.256,240.204,8.353,-237.246,-315.117,-366.450,-398.745,-420.123,-363.736,-442.119,-427.882,-405.947,-420.185,-421.561,-419.486,-416.608
294.813,82289.627,0.972,30.279,445.750,517.987,6.355,-13.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.043,106.462,245.452,14.350,-237.141,-317.276,-365.100,-394.259,-415.412,-385.730,-434.822,-451.723,-454.712,-450.191,-455.001,-451.308,-448.413
295.123,82426.075,0.973,30.266,445.625,518.162,6.353,-13.000,0.000,-2074.149,3917.671,104.223,-0.035,0.042,87.292,241.656,11.994,-238.916,-324.077,-375.172,-407.611,-432.757,-400.467,-408.030,-412.796,-417.953,-433.567,-449.462,-458.978,-451.679
