#
# This text file contains four columns:
#  [1] the name of an exoplanet
#  [2] planet's radius, in Earth radii
#  [3] star's radius, in solar radii
#  [4] energy flux the planet receives from its star,
#       (relative to what Earth receives from the Sun)
#
K2-95b,             3.47,  0.40, 9.68e+00
K2-9b,              2.25,  0.31, 7.96e+00
KELT-10b,          15.68,  1.21, 5.98e+02
KELT-14b,          19.54,  1.52, 2.47e+03
KELT-15b,          16.18,  1.48, 1.21e+03
KELT-17b,          17.09,  1.65, 3.16e+03
KELT-1b,           12.44,  1.46, 5.79e+03
KELT-2 Ab,         14.41,  1.83, 1.43e+03
KELT-3b,           15.08,  1.47, 1.82e+03
KELT-4 Ab,         19.04,  1.60, 1.84e+03
KELT-6b,           13.23,  1.53, 5.04e+02
KELT-7b,           17.18,  1.73, 2.94e+03
KELT-8b,           20.85,  1.67, 1.31e+03
KIC 10525077b,      5.50,  1.01, 1.00e+00
KIC 3558849b,       6.90,  1.01, 1.82e-01
KIC 5437945b,       6.40,  1.24, 2.67e+00
KIC 5437945c,       5.52,  1.24, 4.20e+00
KIC 5951458b,       6.60,  1.52, 8.26e-01
KIC 8540376b,       4.10,  1.26, 6.08e+01
KIC 8540376c,       2.40,  1.26, 6.78e+00
KIC 9663113b,       4.60,  1.03, 2.39e+00
KIC 9663113c,       4.20,  1.03, 6.01e+01
KOI-12b,           16.03,  1.63, 2.25e+02
KOI-13b,           16.95,  1.74, 7.05e+03
KOI-142b,           3.78,  0.88, 6.07e+01
KOI-217b,          12.44,  0.86, 2.77e+02
KOI-351b,           1.31,  1.20, 3.27e+02
KOI-351c,           1.19,  1.20, 2.22e+02
KOI-351d,           2.87,  1.20, 1.81e+01
KOI-351e,           2.66,  1.20, 1.02e+01
KOI-351f,           2.88,  1.20, 7.63e+00
KOI-351g,           8.10,  1.20, 3.51e+00
KOI-351h,          11.30,  1.20, 1.74e+00
KOI-94b,            1.71,  1.52, 1.16e+03
KOI-94c,            4.32,  1.52, 2.98e+02
KOI-94d,           11.27,  1.52, 1.07e+02
KOI-94e,            6.56,  1.52, 3.28e+01
Kepler-1000b,       4.76,  1.51, 1.26e+01
Kepler-1001b,       3.15,  0.88, 5.12e+01
Kepler-1002b,       1.71,  1.57, 1.02e+03
Kepler-1003b,       1.78,  1.17, 7.71e+02
Kepler-1004b,       6.28,  3.39, 1.67e+03
Kepler-1005b,       1.50,  1.06, 2.44e+02
Kepler-1006b,       1.54,  0.74, 2.29e+01
Kepler-1007b,       1.44,  0.70, 7.01e+01
Kepler-1008b,       1.28,  0.78, 3.76e+01
Kepler-1009b,       2.17,  0.57, 1.12e+01
Kepler-100b,        1.32,  1.49, 4.36e+02
Kepler-100c,        2.20,  1.49, 1.90e+02
Kepler-100d,        1.61,  1.49, 4.93e+01
Kepler-1010b,       2.32,  0.82, 1.20e+01
Kepler-1011b,       2.87,  0.88, 1.62e+02
Kepler-1012b,       1.29,  0.91, 1.97e+02
Kepler-1013b,       2.15,  0.76, 1.87e+01
Kepler-1014b,       2.39,  0.84, 3.61e+01
Kepler-1015b,       3.55,  1.81, 3.08e+02
Kepler-1016b,       2.18,  1.00, 1.11e+03
Kepler-1016c,       3.68,  1.00, 5.44e+00
Kepler-1017b,       1.99,  0.87, 1.20e+02
Kepler-1018b,       2.58,  0.88, 1.00e+01
Kepler-1019b,       1.46,  0.67, 3.27e+02
Kepler-101b,        5.77,  1.56, 1.00e+03
Kepler-101c,        1.25,  1.56, 6.71e+02
Kepler-1020b,       2.28,  0.80, 2.77e+00
Kepler-1021b,       2.33,  0.86, 5.10e+01
Kepler-1022b,       2.36,  0.68, 2.18e+01
Kepler-1023b,       2.63,  0.89, 7.24e+00
Kepler-1024b,       3.91,  0.78, 4.28e+00
Kepler-1025b,       1.98,  1.13, 3.13e+01
Kepler-1026b,       2.21,  0.75, 7.66e+00
Kepler-1027b,       0.89,  0.82, 6.22e+02
Kepler-1028b,       1.33,  0.87, 5.19e+02
Kepler-1029b,       1.26,  0.77, 1.41e+02
Kepler-102b,        0.47,  0.76, 9.86e+01
Kepler-102c,        0.58,  0.76, 6.69e+01
Kepler-102d,        1.18,  0.76, 4.05e+01
Kepler-102e,        2.22,  0.76, 2.23e+01
Kepler-102f,        0.88,  0.76, 1.10e+01
Kepler-1030b,       2.48,  0.76, 1.87e+01
Kepler-1031b,       0.87,  1.12, 2.77e+03
Kepler-1032b,       1.87,  0.71, 1.35e+02
Kepler-1033b,       2.51,  0.92, 1.32e+02
Kepler-1034b,       2.26,  0.80, 4.47e+01
Kepler-1035b,       1.17,  0.97, 6.54e+02
Kepler-1036b,       3.01,  0.89, 2.96e+00
Kepler-1037b,       1.28,  0.78, 1.02e+03
Kepler-1038b,       3.53,  0.83, 1.83e+00
Kepler-1039b,       1.46,  0.74, 9.28e+02
Kepler-103b,        3.37,  1.44, 1.34e+02
Kepler-103c,        5.14,  1.44, 5.31e+00
Kepler-1040b,       2.08,  0.96, 1.96e+00
Kepler-1041b,       2.94,  1.08, 4.61e+01
Kepler-1042b,       2.19,  0.72, 3.62e+01
Kepler-1043b,       2.55,  0.90, 1.56e+01
Kepler-1044b,       2.67,  1.11, 2.76e+02
Kepler-1045b,       2.69,  0.82, 1.76e+01
Kepler-1046b,       1.71,  1.04, 8.67e+01
Kepler-1047b,       2.09,  1.13, 1.45e+01
Kepler-1047c,       0.99,  1.13, 6.66e+02
Kepler-1048b,       1.61,  0.70, 4.95e+01
Kepler-1049b,       0.95,  0.49, 4.06e+01
Kepler-104b,        3.10,  1.35, 2.04e+02
Kepler-104c,        3.13,  1.35, 7.72e+01
Kepler-104d,        3.58,  1.35, 2.72e+01
Kepler-1050b,       1.60,  1.13, 9.68e+01
Kepler-1050c,       1.48,  1.13, 6.34e+01
Kepler-1051b,       3.40,  1.73, 1.43e+02
Kepler-1052b,       2.93,  1.03, 2.58e+01
Kepler-1053b,       0.98,  0.69, 1.78e+02
Kepler-1054b,       2.63,  1.34, 7.85e+02
Kepler-1055b,       1.23,  0.94, 7.47e+02
Kepler-1056b,       3.01,  1.20, 5.33e+01
Kepler-1057b,       3.36,  1.10, 1.03e+02
Kepler-1058b,       2.72,  0.69, 1.21e+00
Kepler-1059b,       1.73,  0.72, 1.46e+02
Kepler-105b,        4.81,  0.89, 6.06e+02
Kepler-105c,        1.31,  0.89, 1.61e+02
Kepler-1060b,       2.38,  0.99, 1.55e+01
Kepler-1061b,       1.98,  1.07, 8.91e+02
Kepler-1062b,       1.76,  0.70, 3.19e+01
Kepler-1063b,       1.49,  1.14, 1.06e+02
Kepler-1064b,       1.55,  0.79, 2.74e+01
Kepler-1065b,       3.73,  0.93, 3.86e+02
Kepler-1065c,       1.60,  0.93, 6.77e+02
Kepler-1066b,       2.36,  0.98, 1.05e+03
Kepler-1067b,       0.80,  0.93, 2.96e+03
Kepler-1068b,       3.63,  1.01, 6.24e+01
Kepler-1069b,       1.60,  0.98, 3.54e+01
Kepler-106b,        0.82,  1.04, 2.65e+02
Kepler-106c,        2.50,  1.04, 9.26e+01
Kepler-106d,        0.95,  1.04, 4.33e+01
Kepler-106e,        2.56,  1.04, 1.94e+01
Kepler-1070b,       1.73,  1.32, 4.85e+02
Kepler-1071b,       2.38,  0.81, 1.11e+02
Kepler-1072b,       1.58,  1.32, 2.94e+03
Kepler-1073b,       2.30,  1.00, 1.48e+02
Kepler-1073c,       1.64,  1.00, 4.13e+02
Kepler-1074b,       1.25,  0.57, 2.56e+01
Kepler-1075b,       1.42,  0.54, 1.41e+02
Kepler-1076b,       0.80,  0.74, 7.52e+01
Kepler-1077b,       2.77,  1.02, 2.48e+01
Kepler-1078b,       1.90,  0.92, 4.74e+02
Kepler-1079b,       1.63,  1.36, 1.45e+02
Kepler-1080b,       3.28,  1.16, 1.14e+01
Kepler-1081b,       1.01,  0.84, 2.44e+02
Kepler-1082b,       1.12,  1.14, 2.07e+03
Kepler-1083b,       3.36,  0.77, 9.69e+00
Kepler-1084b,       1.11,  1.28, 1.91e+03
Kepler-1085b,       7.22,  1.14, 2.79e+00
Kepler-1086b,       2.44,  0.66, 9.32e+00
Kepler-1086c,       2.94,  0.66, 5.29e-01
Kepler-1087b,       0.61,  0.94, 3.39e+03
Kepler-1088b,       1.42,  1.08, 5.04e+01
Kepler-1089b,       1.83,  0.49, 1.96e+01
Kepler-108b,        8.65,  2.19, 8.07e+01
Kepler-108c,        8.18,  2.19, 1.33e+01
Kepler-1090b,       2.25,  0.82, 1.21e+00
Kepler-1091b,       1.46,  1.03, 1.80e+03
Kepler-1092b,       2.07,  1.00, 1.23e+01
Kepler-1093b,       1.95,  1.20, 6.15e+01
Kepler-1093c,       1.96,  1.20, 1.12e+01
Kepler-1094b,       3.18,  1.21, 1.32e+01
Kepler-1095b,       1.21,  0.92, 3.07e+02
Kepler-1096b,       1.24,  0.63, 1.03e+02
Kepler-1097b,       3.26,  0.79, 1.15e+00
Kepler-1098b,       1.30,  0.99, 7.54e+02
Kepler-1099b,       2.83,  1.00, 9.67e+02
Kepler-109b,        2.37,  1.32, 4.15e+02
Kepler-109c,        2.52,  1.32, 8.53e+01
Kepler-10b,         1.48,  1.06, 3.47e+03
Kepler-10c,         2.35,  1.06, 1.82e+01
Kepler-1100b,       1.75,  1.34, 4.75e+02
Kepler-1101b,       2.47,  0.91, 5.72e+00
Kepler-1102b,       2.66,  0.94, 1.20e+01
Kepler-1103b,       2.27,  1.15, 7.47e+01
Kepler-1104b,       1.23,  1.41, 7.71e+02
Kepler-1105b,       2.01,  0.68, 6.43e+01
Kepler-1106b,       1.65,  1.17, 3.09e+03
Kepler-1107b,       1.34,  0.82, 2.84e+03
Kepler-1108b,       1.46,  0.84, 2.07e+02
Kepler-1109b,       2.19,  1.06, 2.45e+01
Kepler-1110b,       2.66,  0.70, 3.59e+01
Kepler-1111b,       2.00,  1.15, 2.19e+02
Kepler-1112b,       3.02,  1.54, 2.34e+02
Kepler-1113b,       2.81,  1.17, 2.51e+01
Kepler-1114b,       1.35,  0.83, 4.02e+01
Kepler-1115b,       1.70,  1.73, 3.94e+02
Kepler-1116b,       2.54,  0.93, 1.47e+01
Kepler-1117b,       1.11,  0.93, 2.59e+02
Kepler-1118b,       2.74,  0.97, 1.82e+01
Kepler-1119b,       1.92,  1.17, 2.44e+02
Kepler-1120b,       1.38,  0.74, 2.08e+02
Kepler-1121b,       1.91,  1.59, 2.44e+02
Kepler-1122b,       2.04,  0.89, 1.27e+01
Kepler-1123b,       1.67,  0.90, 2.59e+02
